date,clinic_name,visit_type,backlog_severity
2020-02-29,BOWEN DENTAL CLINIC,Priority 3,187.50
2020-02-29,BUNDABERG DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,BUNDABERG DENTAL CLINIC,General,13226.25
2020-02-29,BUNDABERG DENTAL CLINIC,General Anaesthetic Category 1,10.00
2020-02-29,BUNDABERG DENTAL CLINIC,General Anaesthetic Category 3,423.75
2020-02-29,BUNDABERG DENTAL CLINIC,Priority 1,0.00
2020-02-29,BUNDABERG DENTAL CLINIC,Priority 2,2590.00
2020-02-29,BUNDABERG DENTAL CLINIC,Priority 3,828.75
2020-02-29,CABOOLTURE DENTAL CLINIC,General,20186.25
2020-02-29,CABOOLTURE DENTAL CLINIC,General Anaesthetic Category 1,0.00
2020-02-29,CABOOLTURE DENTAL CLINIC,General Anaesthetic Category 2,0.00
2020-02-29,CABOOLTURE DENTAL CLINIC,General Anaesthetic Category 3,0.00
2020-02-29,CABOOLTURE DENTAL CLINIC,Priority 1,870.00
2020-02-29,CABOOLTURE DENTAL CLINIC,Priority 2,3980.00
2020-02-29,CABOOLTURE DENTAL CLINIC,Priority 3,5036.25
2020-02-29,CAIRNS NTH DENTAL CLINIC,General,10095.00
2020-02-29,CAIRNS NTH DENTAL CLINIC,General Anaesthetic Category 3,1140.00
2020-02-29,CAIRNS NTH DENTAL CLINIC,Priority 3,990.00
2020-02-29,CALOUNDRA DENTAL CLINIC,Clinical Assessment,20.00
2020-02-29,CALOUNDRA DENTAL CLINIC,General,12603.75
2020-02-29,CALOUNDRA DENTAL CLINIC,Priority 2,240.00
2020-02-29,CALOUNDRA DENTAL CLINIC,Priority 3,626.25
2020-02-29,CAPE YORK DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,CAPE YORK DENTAL CLINIC,General,1522.50
2020-02-29,CAPE YORK DENTAL CLINIC,General Anaesthetic Category 1,30.00
2020-02-29,CAPE YORK DENTAL CLINIC,General Anaesthetic Category 2,10.00
2020-02-29,CAPE YORK DENTAL CLINIC,General Anaesthetic Category 3,75.00
2020-02-29,CAPE YORK DENTAL CLINIC,Priority 1,20.00
2020-02-29,CAPE YORK DENTAL CLINIC,Priority 2,50.00
2020-02-29,CAPE YORK DENTAL CLINIC,Priority 3,45.00
2020-02-29,CAPRICORN COAST DENTAL,Clinical Assessment,0.00
2020-02-29,CAPRICORN COAST DENTAL,General,4890.00
2020-02-29,CAPRICORN COAST DENTAL,General Anaesthetic Category 1,0.00
2020-02-29,CAPRICORN COAST DENTAL,Priority 1,220.00
2020-02-29,CAPRICORN COAST DENTAL,Priority 2,570.00
2020-02-29,CAPRICORN COAST DENTAL,Priority 3,225.00
2020-02-29,CENTRAL WEST DENTAL CLINICS,General,2516.25
2020-02-29,CENTRAL WEST DENTAL CLINICS,Priority 2,30.00
2020-02-29,CENTRAL WEST DENTAL CLINICS,Priority 3,198.75
2020-02-29,CHARLEVILLE DENTAL CLINIC,General,900.00
2020-02-29,CHARLEVILLE DENTAL CLINIC,Priority 2,0.00
2020-02-29,CHARLEVILLE DENTAL CLINIC,Priority 3,33.75
2020-02-29,CHARTERS TOWERS DENTAL CL,General,1057.50
2020-02-29,CHARTERS TOWERS DENTAL CL,Priority 2,30.00
2020-02-29,CHARTERS TOWERS DENTAL CL,Priority 3,0.00
2020-02-29,CHILDERS DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,CHILDERS DENTAL CLINIC,General,866.25
2020-02-29,CHILDRENS ORAL HEALTH,General Anaesthetic Category 1,0.00
2020-02-29,CHILDRENS ORAL HEALTH,General Anaesthetic Category 2,700.00
2020-02-29,CHILDRENS ORAL HEALTH,General Anaesthetic Category 3,656.25
2020-02-29,CHILDRENS ORAL HEALTH,Priority 1,30.00
2020-02-29,CHILDRENS ORAL HEALTH,Priority 2,0.00
2020-02-29,CHILDRENS ORAL HEALTH,Priority 3,956.25
2020-02-29,CLERMONT DENTAL CLINIC,General,180.00
2020-02-29,CLONCURRY DENTAL,General,345.00
2020-02-29,CLONCURRY DENTAL,Priority 3,22.50
2020-02-29,COLLINGWOOD PARK DENTAL C,Clinical Assessment,60.00
2020-02-29,COLLINGWOOD PARK DENTAL C,General,7263.75
2020-02-29,COLLINGWOOD PARK DENTAL C,Priority 2,440.00
2020-02-29,COLLINGWOOD PARK DENTAL C,Priority 3,112.50
2020-02-29,COLLINSVILLE DENTAL CLINI,General,547.50
2020-02-29,CUNNAMULLA DENTAL CLINIC,General,311.25
2020-02-29,CUNNAMULLA DENTAL CLINIC,Priority 3,26.25
2020-02-29,DALBY DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,DALBY DENTAL CLINIC,General,3510.00
2020-02-29,DALBY DENTAL CLINIC,General Anaesthetic Category 2,20.00
2020-02-29,DALBY DENTAL CLINIC,General Anaesthetic Category 3,18.75
2020-02-29,DALBY DENTAL CLINIC,Priority 1,0.00
2020-02-29,DALBY DENTAL CLINIC,Priority 2,310.00
2020-02-29,DALBY DENTAL CLINIC,Priority 3,116.25
2020-02-29,DIRRANBANDI DENTAL CLINIC,General,63.75
2020-02-29,EDMONTON DENTAL CLINIC,General,5535.00
2020-02-29,EDMONTON DENTAL CLINIC,Priority 3,720.00
2020-02-29,EMERALD DENTAL CLINIC,Clinical Assessment,10.00
2020-02-29,EMERALD DENTAL CLINIC,General,1458.75
2020-02-29,EMERALD DENTAL CLINIC,General Anaesthetic Category 3,3.75
2020-02-29,EMERALD DENTAL CLINIC,Priority 1,120.00
2020-02-29,EMERALD DENTAL CLINIC,Priority 2,240.00
2020-02-29,EMERALD DENTAL CLINIC,Priority 3,101.25
2020-02-29,ESK DENTAL CLINIC,General,2257.50
2020-02-29,ESK DENTAL CLINIC,Priority 2,40.00
2020-02-29,ESK DENTAL CLINIC,Priority 3,11.25
2020-02-29,GATTON DENTAL CLINIC,General,663.75
2020-02-29,GATTON DENTAL CLINIC,Priority 2,10.00
2020-02-29,GAYNDAH DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,GAYNDAH DENTAL CLINIC,General,1117.50
2020-02-29,GAYNDAH DENTAL CLINIC,Priority 3,131.25
2020-02-29,GC SOUTHPORT HEALTH PREC,Clinical Assessment,30.00
2020-02-29,GC SOUTHPORT HEALTH PREC,General,17655.00
2020-02-29,GC SOUTHPORT HEALTH PREC,General Anaesthetic Category 2,20.00
2020-02-29,GC SOUTHPORT HEALTH PREC,General Anaesthetic Category 3,708.75
2020-02-29,GC SOUTHPORT HEALTH PREC,Priority 1,280.00
2020-02-29,GC SOUTHPORT HEALTH PREC,Priority 2,7770.00
2020-02-29,GC SOUTHPORT HEALTH PREC,Priority 3,6247.50
2020-02-29,GCUH DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,GCUH DENTAL CLINIC,General,52.50
2020-02-29,GCUH DENTAL CLINIC,General Anaesthetic Category 1,0.00
2020-02-29,GCUH DENTAL CLINIC,General Anaesthetic Category 3,0.00
2020-02-29,GCUH DENTAL CLINIC,Priority 2,20.00
2020-02-29,GCUH DENTAL CLINIC,Priority 3,52.50
2020-02-29,GEORGETOWN DENTAL CLINIC,General,7.50
2020-02-29,GLADSTONE DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,GLADSTONE DENTAL CLINIC,General,6866.25
2020-02-29,GLADSTONE DENTAL CLINIC,General Anaesthetic Category 3,11.25
2020-02-29,GLADSTONE DENTAL CLINIC,Priority 1,200.00
2020-02-29,GLADSTONE DENTAL CLINIC,Priority 2,750.00
2020-02-29,GLADSTONE DENTAL CLINIC,Priority 3,247.50
2020-02-29,GOONDIWINDI DENTAL CLINIC,General,780.00
2020-02-29,GOONDIWINDI DENTAL CLINIC,General Anaesthetic Category 3,15.00
2020-02-29,GOONDIWINDI DENTAL CLINIC,Priority 2,10.00
2020-02-29,GOONDIWINDI DENTAL CLINIC,Priority 3,3.75
2020-02-29,GYMPIE DENTAL CLINIC,Clinical Assessment,120.00
2020-02-29,GYMPIE DENTAL CLINIC,General,8017.50
2020-02-29,GYMPIE DENTAL CLINIC,General Anaesthetic Category 2,30.00
2020-02-29,GYMPIE DENTAL CLINIC,General Anaesthetic Category 3,52.50
2020-02-29,GYMPIE DENTAL CLINIC,Priority 1,0.00
2020-02-29,GYMPIE DENTAL CLINIC,Priority 2,760.00
2020-02-29,GYMPIE DENTAL CLINIC,Priority 3,768.75
2020-02-29,HERVEY BAY DENTAL CLINIC,Clinical Assessment,10.00
2020-02-29,HERVEY BAY DENTAL CLINIC,General,10218.75
2020-02-29,HERVEY BAY DENTAL CLINIC,General Anaesthetic Category 2,10.00
2020-02-29,HERVEY BAY DENTAL CLINIC,General Anaesthetic Category 3,153.75
2020-02-29,HERVEY BAY DENTAL CLINIC,Priority 1,0.00
2020-02-29,HERVEY BAY DENTAL CLINIC,Priority 2,2340.00
2020-02-29,HERVEY BAY DENTAL CLINIC,Priority 3,375.00
2020-02-29,HUGHENDEN DENTAL CLINIC,General,18.75
2020-02-29,HUGHENDEN DENTAL CLINIC,Priority 2,10.00
2020-02-29,HUGHENDEN DENTAL CLINIC,Priority 3,15.00
2020-02-29,INGHAM DENTAL CLINIC,Clinical Assessment,10.00
2020-02-29,INGHAM DENTAL CLINIC,General,581.25
2020-02-29,INGHAM DENTAL CLINIC,Priority 1,10.00
2020-02-29,INGHAM DENTAL CLINIC,Priority 2,20.00
2020-02-29,INGHAM DENTAL CLINIC,Priority 3,142.50
2020-02-29,INGLEWOOD DENTAL CLINIC,General,581.25
2020-02-29,INGLEWOOD DENTAL CLINIC,Priority 2,20.00
2020-02-29,INGLEWOOD DENTAL CLINIC,Priority 3,3.75
2020-02-29,INJUNE DENTAL CLINIC,General,90.00
2020-02-29,INNISFAIL DENTAL CLINIC,General,4500.00
2020-02-29,INNISFAIL DENTAL CLINIC,Priority 3,108.75
2020-02-29,IPSWICH DENTAL CLINIC,Clinical Assessment,130.00
2020-02-29,IPSWICH DENTAL CLINIC,General,19845.00
2020-02-29,IPSWICH DENTAL CLINIC,General Anaesthetic Category 3,705.00
2020-02-29,IPSWICH DENTAL CLINIC,Priority 1,0.00
2020-02-29,IPSWICH DENTAL CLINIC,Priority 2,2180.00
2020-02-29,IPSWICH DENTAL CLINIC,Priority 3,446.25
2020-02-29,KAWANA DENTAL CLINIC,Clinical Assessment,30.00
2020-02-29,KAWANA DENTAL CLINIC,General,11197.50
2020-02-29,KAWANA DENTAL CLINIC,Priority 2,800.00
2020-02-29,KAWANA DENTAL CLINIC,Priority 3,255.00
2020-02-29,KINGAROY DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,KINGAROY DENTAL CLINIC,General,9146.25
2020-02-29,KINGAROY DENTAL CLINIC,General Anaesthetic Category 3,101.25
2020-02-29,KINGAROY DENTAL CLINIC,Priority 1,0.00
2020-02-29,KINGAROY DENTAL CLINIC,Priority 2,100.00
2020-02-29,KINGAROY DENTAL CLINIC,Priority 3,82.50
2020-02-29,KINGSTON LOGAN CLUSTER,Clinical Assessment,0.00
2020-02-29,KINGSTON LOGAN CLUSTER,General,17501.25
2020-02-29,KINGSTON LOGAN CLUSTER,General Anaesthetic Category 2,0.00
2020-02-29,KINGSTON LOGAN CLUSTER,General Anaesthetic Category 3,0.00
2020-02-29,KINGSTON LOGAN CLUSTER,Priority 3,0.00
2020-02-29,LAIDLEY DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,LAIDLEY DENTAL CLINIC,General,4417.50
2020-02-29,LAIDLEY DENTAL CLINIC,Priority 1,0.00
2020-02-29,LAIDLEY DENTAL CLINIC,Priority 2,280.00
2020-02-29,LAIDLEY DENTAL CLINIC,Priority 3,71.25
2020-02-29,MACKAY DENTAL CLINIC,Clinical Assessment,20.00
2020-02-29,MACKAY DENTAL CLINIC,General,15652.50
2020-02-29,MACKAY DENTAL CLINIC,General Anaesthetic Category 3,97.50
2020-02-29,MACKAY DENTAL CLINIC,Priority 2,70.00
2020-02-29,MACKAY DENTAL CLINIC,Priority 3,690.00
2020-02-29,MAREEBA DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,MAREEBA DENTAL CLINIC,General,4747.50
2020-02-29,MAREEBA DENTAL CLINIC,General Anaesthetic Category 3,0.00
2020-02-29,MAREEBA DENTAL CLINIC,Priority 3,318.75
2020-02-29,MARYBOROUGH DENTAL CLINIC,Clinical Assessment,30.00
2020-02-29,MARYBOROUGH DENTAL CLINIC,General,7781.25
2020-02-29,MARYBOROUGH DENTAL CLINIC,General Anaesthetic Category 3,37.50
2020-02-29,MARYBOROUGH DENTAL CLINIC,Priority 1,0.00
2020-02-29,MARYBOROUGH DENTAL CLINIC,Priority 2,2690.00
2020-02-29,MARYBOROUGH DENTAL CLINIC,Priority 3,251.25
2020-02-29,MILES DENTAL CLINIC,General,1376.25
2020-02-29,MILES DENTAL CLINIC,Priority 2,60.00
2020-02-29,MILES DENTAL CLINIC,Priority 3,22.50
2020-02-29,MITCHELL DENTAL CLINIC,General,240.00
2020-02-29,MITCHELL DENTAL CLINIC,Priority 3,3.75
2020-02-29,MONTO DENTAL CLINIC,General,228.75
2020-02-29,MORNINGTON ISLAND DENTAL,General,577.50
2020-02-29,MORNINGTON ISLAND DENTAL,Priority 1,10.00
2020-02-29,MORNINGTON ISLAND DENTAL,Priority 2,0.00
2020-02-29,MORNINGTON ISLAND DENTAL,Priority 3,228.75
2020-02-29,MOSSMAN DENTAL CLINIC,General,2141.25
2020-02-29,MOSSMAN DENTAL CLINIC,Priority 3,56.25
2020-02-29,MS AREA WIDE CLUSTER,General Anaesthetic Category 1,20.00
2020-02-29,MS AREA WIDE CLUSTER,General Anaesthetic Category 2,2060.00
2020-02-29,MS AREA WIDE CLUSTER,General Anaesthetic Category 3,1218.75
2020-02-29,MS INNER BRISBANE CLUSTER,Clinical Assessment,0.00
2020-02-29,MS INNER BRISBANE CLUSTER,General,18855.00
2020-02-29,MS INNER BRISBANE CLUSTER,General Anaesthetic Category 1,0.00
2020-02-29,MS INNER BRISBANE CLUSTER,General Anaesthetic Category 2,0.00
2020-02-29,MS INNER BRISBANE CLUSTER,General Anaesthetic Category 3,0.00
2020-02-29,MS INNER BRISBANE CLUSTER,Priority 2,0.00
2020-02-29,MS INNER BRISBANE CLUSTER,Priority 3,11.25
2020-02-29,MT ISA DENTAL CLINIC,General,2452.50
2020-02-29,MT ISA DENTAL CLINIC,General Anaesthetic Category 1,40.00
2020-02-29,MT ISA DENTAL CLINIC,General Anaesthetic Category 2,20.00
2020-02-29,MT ISA DENTAL CLINIC,General Anaesthetic Category 3,168.75
2020-02-29,MT ISA DENTAL CLINIC,Priority 1,20.00
2020-02-29,MT ISA DENTAL CLINIC,Priority 3,213.75
2020-02-29,MT MORGAN DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,MT MORGAN DENTAL CLINIC,General,937.50
2020-02-29,MT MORGAN DENTAL CLINIC,Priority 1,170.00
2020-02-29,MT MORGAN DENTAL CLINIC,Priority 2,140.00
2020-02-29,MT MORGAN DENTAL CLINIC,Priority 3,3.75
2020-02-29,MUNDUBBERA DENTAL CLINIC,General,382.50
2020-02-29,MUNGINDI DENTAL CLINIC,General,82.50
2020-02-29,NAMBOUR DENTAL CLINIC,Clinical Assessment,30.00
2020-02-29,NAMBOUR DENTAL CLINIC,General,6026.25
2020-02-29,NAMBOUR DENTAL CLINIC,Priority 2,810.00
2020-02-29,NAMBOUR DENTAL CLINIC,Priority 3,667.50
2020-02-29,NATHAN INALA CLUSTER,Clinical Assessment,10.00
2020-02-29,NATHAN INALA CLUSTER,General,26175.00
2020-02-29,NATHAN INALA CLUSTER,General Anaesthetic Category 1,0.00
2020-02-29,NATHAN INALA CLUSTER,General Anaesthetic Category 2,0.00
2020-02-29,NATHAN INALA CLUSTER,Priority 3,90.00
2020-02-29,NOOSA DENTAL CLINIC,Clinical Assessment,10.00
2020-02-29,NOOSA DENTAL CLINIC,General,5508.75
2020-02-29,NOOSA DENTAL CLINIC,Priority 2,500.00
2020-02-29,NOOSA DENTAL CLINIC,Priority 3,446.25
2020-02-29,ORAL HEALTH CENTRE,Clinical Assessment,10.00
2020-02-29,ORAL HEALTH CENTRE,General,14205.00
2020-02-29,ORAL HEALTH CENTRE,General Anaesthetic Category 2,0.00
2020-02-29,ORAL HEALTH CENTRE,General Anaesthetic Category 3,0.00
2020-02-29,ORAL HEALTH CENTRE,Priority 1,1700.00
2020-02-29,ORAL HEALTH CENTRE,Priority 2,9310.00
2020-02-29,ORAL HEALTH CENTRE,Priority 3,6667.50
2020-02-29,PALM BEACH DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,PALM BEACH DENTAL CLINIC,General,3832.50
2020-02-29,PALM BEACH DENTAL CLINIC,Priority 1,0.00
2020-02-29,PALM BEACH DENTAL CLINIC,Priority 2,310.00
2020-02-29,PALM BEACH DENTAL CLINIC,Priority 3,393.75
2020-02-29,PINE RIVERS DENTAL CLINIC,General,9993.75
2020-02-29,PINE RIVERS DENTAL CLINIC,Priority 1,280.00
2020-02-29,PINE RIVERS DENTAL CLINIC,Priority 2,340.00
2020-02-29,PINE RIVERS DENTAL CLINIC,Priority 3,1237.50
2020-02-29,PROSERPINE DENTAL,General,3802.50
2020-02-29,PROSERPINE DENTAL,Priority 2,20.00
2020-02-29,PROSERPINE DENTAL,Priority 3,258.75
2020-02-29,QUILPIE DENTAL CLINIC,General,60.00
2020-02-29,QUILPIE DENTAL CLINIC,Priority 3,3.75
2020-02-29,REDCLIFFE DENTAL CLINIC,General,11985.00
2020-02-29,REDCLIFFE DENTAL CLINIC,General Anaesthetic Category 2,380.00
2020-02-29,REDCLIFFE DENTAL CLINIC,General Anaesthetic Category 3,232.50
2020-02-29,REDCLIFFE DENTAL CLINIC,Priority 1,770.00
2020-02-29,REDCLIFFE DENTAL CLINIC,Priority 2,1920.00
2020-02-29,REDCLIFFE DENTAL CLINIC,Priority 3,2752.50
2020-02-29,RICHMOND DENTAL CLINIC,General,7.50
2020-02-29,ROBINA DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,ROBINA DENTAL CLINIC,General,5013.75
2020-02-29,ROBINA DENTAL CLINIC,General Anaesthetic Category 3,3.75
2020-02-29,ROBINA DENTAL CLINIC,Priority 1,40.00
2020-02-29,ROBINA DENTAL CLINIC,Priority 2,240.00
2020-02-29,ROBINA DENTAL CLINIC,Priority 3,412.50
2020-02-29,ROCKHAMPTON DENTAL CLINIC,Clinical Assessment,10.00
2020-02-29,ROCKHAMPTON DENTAL CLINIC,General,12483.75
2020-02-29,ROCKHAMPTON DENTAL CLINIC,General Anaesthetic Category 1,170.00
2020-02-29,ROCKHAMPTON DENTAL CLINIC,General Anaesthetic Category 2,200.00
2020-02-29,ROCKHAMPTON DENTAL CLINIC,General Anaesthetic Category 3,120.00
2020-02-29,ROCKHAMPTON DENTAL CLINIC,Priority 1,550.00
2020-02-29,ROCKHAMPTON DENTAL CLINIC,Priority 2,1500.00
2020-02-29,ROCKHAMPTON DENTAL CLINIC,Priority 3,352.50
2020-02-29,ROMA HOSPITAL DENTAL CLIN,General,2055.00
2020-02-29,ROMA HOSPITAL DENTAL CLIN,General Anaesthetic Category 1,10.00
2020-02-29,ROMA HOSPITAL DENTAL CLIN,General Anaesthetic Category 2,0.00
2020-02-29,ROMA HOSPITAL DENTAL CLIN,General Anaesthetic Category 3,11.25
2020-02-29,ROMA HOSPITAL DENTAL CLIN,Priority 1,0.00
2020-02-29,ROMA HOSPITAL DENTAL CLIN,Priority 2,0.00
2020-02-29,ROMA HOSPITAL DENTAL CLIN,Priority 3,41.25
2020-02-29,SANDGATE DENTAL CLINIC,Clinical Assessment,20.00
2020-02-29,SANDGATE DENTAL CLINIC,General,6071.25
2020-02-29,SANDGATE DENTAL CLINIC,Priority 1,80.00
2020-02-29,SANDGATE DENTAL CLINIC,Priority 2,370.00
2020-02-29,SANDGATE DENTAL CLINIC,Priority 3,735.00
2020-02-29,SCUH DENTAL CLINIC,General Anaesthetic Category 2,110.00
2020-02-29,SCUH DENTAL CLINIC,General Anaesthetic Category 3,52.50
2020-02-29,SCUH DENTAL CLINIC,Priority 1,0.00
2020-02-29,SCUH DENTAL CLINIC,Priority 2,10.00
2020-02-29,SCUH DENTAL CLINIC,Priority 3,7.50
2020-02-29,SMITHFIELD DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,SMITHFIELD DENTAL CLINIC,General,3633.75
2020-02-29,SMITHFIELD DENTAL CLINIC,Priority 3,243.75
2020-02-29,ST GEORGE DENTAL CLINIC,General,371.25
2020-02-29,ST GEORGE DENTAL CLINIC,Priority 3,26.25
2020-02-29,STAFFORD DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,STAFFORD DENTAL CLINIC,General,9007.50
2020-02-29,STAFFORD DENTAL CLINIC,General Anaesthetic Category 2,10.00
2020-02-29,STAFFORD DENTAL CLINIC,General Anaesthetic Category 3,0.00
2020-02-29,STAFFORD DENTAL CLINIC,Priority 1,50.00
2020-02-29,STAFFORD DENTAL CLINIC,Priority 2,720.00
2020-02-29,STAFFORD DENTAL CLINIC,Priority 3,1215.00
2020-02-29,STANTHORPE DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,STANTHORPE DENTAL CLINIC,General,2850.00
2020-02-29,STANTHORPE DENTAL CLINIC,Priority 1,0.00
2020-02-29,STANTHORPE DENTAL CLINIC,Priority 2,10.00
2020-02-29,STANTHORPE DENTAL CLINIC,Priority 3,56.25
2020-02-29,SURAT DENTAL CLINIC,General,105.00
2020-02-29,THARGOMINDAH DENTAL SERVI,General,30.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,General,12135.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,General Anaesthetic Category 2,520.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,General Anaesthetic Category 3,435.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,Priority 1,70.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,Priority 2,1420.00
2020-02-29,TOOWOOMBA DENTAL CLINIC,Priority 3,896.25
2020-02-29,TORRES STRAIT DENTAL CLINIC,General,847.50
2020-02-29,TORRES STRAIT DENTAL CLINIC,General Anaesthetic Category 1,10.00
2020-02-29,TORRES STRAIT DENTAL CLINIC,General Anaesthetic Category 3,221.25
2020-02-29,TORRES STRAIT DENTAL CLINIC,Priority 1,0.00
2020-02-29,TORRES STRAIT DENTAL CLINIC,Priority 3,7.50
2020-02-29,TOWNSVILLE DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,TOWNSVILLE DENTAL CLINIC,General,7335.00
2020-02-29,TOWNSVILLE DENTAL CLINIC,General Anaesthetic Category 1,0.00
2020-02-29,TOWNSVILLE DENTAL CLINIC,General Anaesthetic Category 2,250.00
2020-02-29,TOWNSVILLE DENTAL CLINIC,General Anaesthetic Category 3,116.25
2020-02-29,TOWNSVILLE DENTAL CLINIC,Priority 1,40.00
2020-02-29,TOWNSVILLE DENTAL CLINIC,Priority 2,80.00
2020-02-29,TOWNSVILLE DENTAL CLINIC,Priority 3,960.00
2020-02-29,TULLY DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,TULLY DENTAL CLINIC,General,2733.75
2020-02-29,TULLY DENTAL CLINIC,Priority 3,93.75
2020-02-29,WARWICK DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,WARWICK DENTAL CLINIC,General,2332.50
2020-02-29,WARWICK DENTAL CLINIC,General Anaesthetic Category 3,26.25
2020-02-29,WARWICK DENTAL CLINIC,Priority 1,0.00
2020-02-29,WARWICK DENTAL CLINIC,Priority 2,130.00
2020-02-29,WARWICK DENTAL CLINIC,Priority 3,153.75
2020-02-29,WOORABINDA DENTAL CLINIC,Priority 1,0.00
2020-02-29,WOORABINDA DENTAL CLINIC,Priority 2,10.00
2020-02-29,YARRABAH DENTAL CLINIC,General,3.75
2020-03-31,ATHERTON DENTAL CLINIC,Clinical Assessment,0.00
2020-03-31,ATHERTON DENTAL CLINIC,General,4072.50
2020-03-31,ATHERTON DENTAL CLINIC,Priority 3,393.75
2020-03-31,AUGATHELLA DENTAL CLINIC,General,37.50
2020-03-31,AUGATHELLA DENTAL CLINIC,Priority 3,3.75
2020-03-31,AYR DENTAL CLINIC,Clinical Assessment,0.00
2020-03-31,AYR DENTAL CLINIC,General,708.75
2020-03-31,AYR DENTAL CLINIC,General Anaesthetic Category 2,0.00
2020-03-31,AYR DENTAL CLINIC,Priority 3,172.50
2020-03-31,BAYSIDE CLUSTER,Clinical Assessment,0.00
2020-03-31,BAYSIDE CLUSTER,General,25706.25
2020-03-31,BAYSIDE CLUSTER,General Anaesthetic Category 3,0.00
2020-03-31,BAYSIDE CLUSTER,Priority 1,10.00
2020-03-31,BAYSIDE CLUSTER,Priority 2,10.00
2020-03-31,BAYSIDE CLUSTER,Priority 3,101.25
2020-03-31,BEENLEIGH BEAUDESERT CLUS,Clinical Assessment,30.00
2020-03-31,BEENLEIGH BEAUDESERT CLUS,General,37545.00
2020-03-31,BEENLEIGH BEAUDESERT CLUS,General Anaesthetic Category 2,0.00
2020-03-31,BEENLEIGH BEAUDESERT CLUS,General Anaesthetic Category 3,0.00
2020-03-31,BEENLEIGH BEAUDESERT CLUS,Priority 3,176.25
2020-03-31,BILOELA DENTAL CLINIC,Clinical Assessment,0.00
2020-03-31,BILOELA DENTAL CLINIC,General,963.75
2020-03-31,BILOELA DENTAL CLINIC,Priority 1,30.00
2020-03-31,BILOELA DENTAL CLINIC,Priority 2,230.00
2020-03-31,BILOELA DENTAL CLINIC,Priority 3,33.75
2020-03-31,BOONAH DENTAL CLINIC,Clinical Assessment,10.00
2020-03-31,BOONAH DENTAL CLINIC,General,1511.25
